Gene	SJMMALZ058765_G1	SJMMALZ058766_G1	SJMMALZ058768_G1	SJMMALZ058769_G1	SJMMALZ058771_G1	SJMMALZ058772_G1	SJMMALZ058773_G1	SJMMALZ058774_G1	SJMMALZ058775_G1	SJMMALZ058776_G1	SJMMALZ058778_G1	SJMMALZ058779_G1	SJMMALZ058780_G1	SJMMALZ058781_G1	SJMMALZ058782_G1
ENSMUSG00000039361	23145	23668	27445	24838	15039	20127	19087	20956	25575	34572	13748	32140	22482	27092	14049
ENSMUSG00000039364	0	0	0	1	0	0	4	0	0	8	1	0	5	0	3
ENSMUSG00000068303	0	3	2	3	0	0	8	4	0	3	9	8	8	1	2
ENSMUSG00000001018	6664	6084	8344	8552	4586	6385	6128	6414	7930	10261	4659	10003	7572	7691	4673
ENSMUSG00000068302	3	4	6	6	1	6	3	6	4	2	0	5	5	6	1
ENSMUSG00000061510	73	11	63	24	15	8	25	31	42	44	11	39	46	49	31
ENSMUSG00000039367	17525	18604	20293	22173	11028	14950	14361	14218	16384	21704	11456	18779	16578	18064	11168
ENSMUSG00000061517	1417	1840	1610	2683	846	1143	1634	1048	1031	1732	1144	2161	1247	1549	1081
ENSMUSG00000061518	20938	20240	22835	26377	13988	18980	16830	20746	20782	27946	14149	24790	19654	20129	13779
ENSMUSG00000003271	899	1282	1276	1702	937	938	1142	1144	825	1442	703	1100	1212	1232	829
ENSMUSG00000003273	31584	27143	30111	36458	15963	22425	21658	22280	23824	32870	18900	31496	20621	21486	17176
ENSMUSG00000001017	23786	25364	28925	29956	15292	21381	19865	21305	26042	32572	16288	28927	22363	23409	15283
ENSMUSG00000001016	11701	12564	14714	14340	8684	11291	10098	11355	12142	16012	8164	14059	11226	11961	7757
ENSMUSG00000003279	89310	103894	118403	100534	71501	94346	76521	90673	84042	122171	70500	82801	86231	83923	58077
ENSMUSG00000001014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039372	4780	6442	5144	7557	2775	3616	3472	2591	3278	4304	3139	4328	3418	2763	2824
ENSMUSG00000061501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039377	126	67	173	200	51	172	67	195	244	459	85	453	222	280	86
ENSMUSG00000039376	53	68	69	74	23	38	69	79	68	80	29	64	59	50	19
ENSMUSG00000039375	5862	6658	7448	6608	4410	6148	4625	5046	5621	7779	3955	6412	4951	5277	3558
ENSMUSG00000012848	15478	15282	19358	23049	10172	13113	15106	16591	21074	29244	11308	26697	16744	20419	10000
ENSMUSG00000003269	12379	12992	15321	15860	9305	12008	10603	12095	12735	16747	8672	14210	11653	12145	8327
ENSMUSG00000039385	492	389	533	288	452	624	211	1037	1146	1088	203	364	353	770	168
ENSMUSG00000039382	5770	6326	7692	8169	4006	5391	5358	5407	5959	8185	4350	6921	5314	5768	4139
ENSMUSG00000039384	1237	878	1326	1171	734	971	944	1262	1332	1324	656	1604	1025	1356	665
ENSMUSG00000010592	879	623	892	777	424	656	537	564	732	877	489	940	576	584	420
ENSMUSG00000040701	1401	1397	1553	1982	799	1162	1228	1047	1276	1826	847	1783	1166	1545	791
ENSMUSG00000040705	91	48	99	88	50	83	83	84	108	107	45	84	68	58	46
ENSMUSG00000012819	124	134	144	211	90	238	148	153	180	342	182	354	181	302	134
ENSMUSG00000040706	381	236	426	310	318	346	304	523	349	492	293	412	475	306	350
ENSMUSG00000001034	3591	3401	4479	5270	2319	3758	3181	3513	4640	6275	2933	4952	3039	3980	2408
ENSMUSG00000040703	1481	465	692	428	532	579	667	809	598	786	306	767	772	788	497
ENSMUSG00000039391	153	148	145	184	67	96	163	79	265	151	93	239	98	173	77
ENSMUSG00000003299	5778	5371	6024	7115	3529	4513	4320	4795	4937	7554	3588	6113	5368	5203	3276
ENSMUSG00000001039	1737	1778	2263	2669	1188	1623	1390	1467	1966	2564	1195	2149	1560	1689	921
ENSMUSG00000001036	24122	28273	27715	32131	15500	21988	21889	19555	23539	32352	17193	30466	21576	22861	15785
ENSMUSG00000001029	570	474	373	680	224	264	354	282	324	491	235	465	547	261	224
ENSMUSG00000039396	3	4	10	8	6	8	11	13	21	28	2	27	14	8	1
ENSMUSG00000039395	822	878	1014	606	629	890	679	916	896	1099	557	915	670	879	658
ENSMUSG00000003283	394	357	427	538	147	197	312	388	525	1225	213	802	469	713	195
ENSMUSG00000003282	247	156	277	182	168	320	112	348	503	612	167	336	234	455	121
ENSMUSG00000001020	152	121	180	164	77	152	147	167	359	281	93	366	137	414	130
ENSMUSG00000001021	54	82	99	112	24	67	70	29	71	94	36	97	67	57	34
ENSMUSG00000001023	7	46	9	81	3	55	4	4	0	23	17	127	12	4	38
ENSMUSG00000001025	1348	2053	2095	2491	1002	1541	1601	1265	2277	3308	1792	3763	1984	3099	1101
ENSMUSG00000001027	0	5	4	2	1	3	9	6	9	8	0	12	7	6	4
ENSMUSG00000039323	5581	5315	5142	7264	2334	4064	2877	4424	14544	4875	3322	5940	3698	3527	3019
ENSMUSG00000039328	523	515	458	708	271	402	596	448	881	1157	214	1284	560	964	324
ENSMUSG00000039329	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000039321	8	16	21	20	2	4	1	0	11	25	19	17	1	7	0
ENSMUSG00000001056	3051	3209	3184	4451	2085	2648	2454	2569	3035	3790	1992	3783	2882	2598	1838
ENSMUSG00000001054	7760	8969	9038	10973	5263	6420	6589	6831	6410	10087	5161	8444	7150	6918	4894
ENSMUSG00000001052	11877	13678	15382	15175	9001	11848	10642	11315	12243	16706	8746	13731	12088	12896	7700
ENSMUSG00000001053	1820	3059	1973	3896	1732	2162	2301	1417	1671	3152	1577	2688	2256	1746	1660
ENSMUSG00000039337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039335	12	11	18	21	0	13	3	4	1	9	5	7	7	6	1
ENSMUSG00000039339	4	10	13	8	21	25	5	19	19	16	1	9	7	8	3
ENSMUSG00000039330	4	3	17	27	3	10	7	8	6	14	7	15	8	9	3
ENSMUSG00000012889	7	12	7	8	9	15	12	7	11	33	3	8	1	12	0
ENSMUSG00000039349	14583	14640	19715	14350	11897	15075	12005	17046	10407	18376	10555	13928	12732	11992	10446
ENSMUSG00000039345	2256	2216	2638	2979	1585	2013	1917	2083	2153	3160	1635	2620	2278	2176	1538
ENSMUSG00000039347	56968	66243	71961	76781	40293	56778	47948	51537	56219	75032	43477	64493	55285	52836	40022
ENSMUSG00000039342	5	0	0	2	1	1	1	2	7	2	1	7	4	0	0
ENSMUSG00000001076	1	0	0	1	0	8	0	0	8	0	0	0	1	0	1
ENSMUSG00000039358	197	371	284	369	194	276	172	100	176	306	205	302	140	156	214
ENSMUSG00000039356	2249	2578	2790	3288	1614	2185	1846	1978	2528	3145	1551	2796	2260	2030	1449
ENSMUSG00000039357	3292	3551	3981	3574	2122	2888	2708	3046	3537	4415	1910	3552	2877	3527	2063
ENSMUSG00000039354	7930	9402	10656	9769	5929	7956	6322	7446	8291	11430	6141	9102	7305	8281	4527
ENSMUSG00000001065	3141	3585	3655	5055	1936	2677	3294	2810	3305	5266	2349	4405	3288	3410	2045
ENSMUSG00000001062	12260	12330	14188	17514	7903	9762	10112	10811	10124	15781	8361	12077	10483	10638	7367
ENSMUSG00000040767	1376	1408	1636	1803	781	1351	1147	1311	1543	1964	1018	1822	1325	1383	916
ENSMUSG00000040761	16580	20294	20132	24235	11612	14540	17133	14760	14968	24068	13304	19172	17858	19062	12864
ENSMUSG00000005338	92825	103827	114502	111382	62272	84812	67835	79309	78339	104765	66288	79797	73388	70831	59001
ENSMUSG00000005339	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000040760	12900	15628	17212	18218	9499	13414	11017	12229	14909	20173	9714	15393	12075	14447	7954
ENSMUSG00000040752	730	671	765	1121	470	631	882	515	1397	1217	474	1575	1051	1303	396
ENSMUSG00000040751	343	530	617	896	234	337	415	699	1059	2642	367	1796	878	1265	228
ENSMUSG00000005320	20	26	7	59	22	42	38	7	59	27	13	99	40	89	19
ENSMUSG00000040759	3776	2845	3668	5130	2299	3436	4140	3611	5499	6227	2328	7641	4963	5324	2567
ENSMUSG00000061589	24887	24764	26566	37196	13723	16386	21170	20026	20529	29728	13830	24075	21449	23566	13265
ENSMUSG00000061584	0	1	3	3	0	4	9	0	14	0	2	4	4	8	3
ENSMUSG00000040785	127427	163751	167632	161074	101308	140721	104061	127094	134479	197595	99024	136467	121217	138810	75850
ENSMUSG00000005355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005357	1398	1626	1756	1829	1076	1322	1000	1237	1161	1938	1151	1454	1356	1590	926
ENSMUSG00000005354	15020	15741	17386	20126	10054	12913	12492	13020	14351	19637	10940	17394	14635	13322	9654
ENSMUSG00000061576	43254	47933	55494	55666	28942	39211	32011	32821	38520	48163	31573	41430	35694	34124	27258
ENSMUSG00000061577	7	6	6	4	8	2	5	10	12	16	5	29	11	32	0
ENSMUSG00000061578	2497	3005	3314	2498	1853	2475	1948	2231	2226	2916	1835	2018	2211	2173	1384
ENSMUSG00000040782	8702	8194	9981	8992	5498	7203	5974	7104	7260	9807	4994	8392	6996	6844	4690
ENSMUSG00000040774	5701	6453	8148	7560	4027	5593	4980	5039	6404	7897	3913	7129	5670	6293	3508
ENSMUSG00000040775	8	8	8	1	5	5	3	8	4	12	5	9	7	9	5
ENSMUSG00000061561	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000040771	1532	1501	1916	1892	1179	1720	1479	1474	2078	2420	1165	2123	1545	1669	966
ENSMUSG00000040770	22	13	31	13	12	31	18	9	47	28	9	7	11	11	1
ENSMUSG00000040729	2414	2507	2632	2040	1472	1929	1634	1948	2341	2841	1249	2434	1910	2242	1355
ENSMUSG00000005370	3034	3508	3860	3381	2197	3028	2624	3178	3626	4322	2013	3931	2929	3676	2065
ENSMUSG00000005371	20826	23575	28037	23984	15120	19688	16906	18501	20480	27217	14061	22133	18841	19683	12574
ENSMUSG00000040726	0	0	2	4	0	0	1	1	2	0	1	2	0	0	0
ENSMUSG00000005373	826	611	1000	1245	345	542	740	1196	1895	3435	510	2447	1327	1996	383
ENSMUSG00000040725	17401	17800	21213	23145	11567	14896	15009	15036	17663	24361	12335	20772	18001	17988	11508
ENSMUSG00000005374	4923	5826	6310	6436	3271	4834	3992	4678	5164	6793	3407	6108	4876	4895	3372
ENSMUSG00000040728	10	0	12	20	3	12	17	5	23	13	9	16	2	15	21
ENSMUSG00000047879	19172	23779	27598	22548	15224	21237	16274	18896	20049	28193	14932	22489	20550	20571	13316
ENSMUSG00000047878	598	458	625	671	221	305	304	218	442	507	283	456	604	335	245
ENSMUSG00000040722	71393	83147	92271	100404	55843	70912	62552	67644	69816	100945	54894	80320	74333	69824	51733
ENSMUSG00000040721	18799	20219	18845	25189	11101	13581	16207	13071	15513	22459	12672	18579	16008	16539	12035
ENSMUSG00000005378	3742	4229	4475	5595	2394	3324	3299	3626	3498	4817	2515	4457	3568	3454	2462
ENSMUSG00000040724	5076	4654	5518	2122	4985	6070	2149	8677	5703	9670	2190	3396	4673	8332	649
ENSMUSG00000040723	1122	1451	1206	1771	556	876	982	890	1435	2114	649	2177	1431	1519	758
ENSMUSG00000040720	6991	8123	8627	7669	4836	6936	5316	6424	7567	9683	4565	7986	6444	7545	3881
ENSMUSG00000061559	4739	5080	5948	5747	3291	4381	3768	4526	4918	6167	3195	5322	4574	4754	3028
ENSMUSG00000047875	616	515	757	658	466	686	542	848	1254	2168	456	1622	928	1343	470
ENSMUSG00000005360	98186	98614	115917	136871	54151	79612	85008	68948	94513	137067	63113	129444	99050	107265	50012
ENSMUSG00000040717	1076	1467	1618	2016	687	1105	935	780	1449	1722	985	1312	670	978	589
ENSMUSG00000005364	0	2	2	4	0	5	1	1	3	1	0	17	1	0	0
ENSMUSG00000047868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047867	544	1047	623	1065	267	556	508	384	358	872	357	667	367	483	428
ENSMUSG00000040715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005362	8283	9432	11282	9272	6250	8767	6520	8540	9438	12033	6026	10019	7844	9011	5423
ENSMUSG00000040714	206	124	185	166	97	134	168	192	352	277	122	415	182	415	135
ENSMUSG00000040713	3581	3574	5031	5167	2816	3463	3255	4646	6027	9504	2707	8655	5450	6829	2733
ENSMUSG00000040712	69106	70633	81034	78871	45101	57915	53382	63606	53350	80877	44189	61975	59213	55874	44136
ENSMUSG00000040711	5206	5886	5797	8128	3081	3708	4566	3959	4753	7271	3359	7083	6215	6234	3022
ENSMUSG00000040710	1601	1415	1861	1662	1008	1339	1335	1418	1823	2338	799	2126	1310	1865	853
ENSMUSG00000061549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061544	246	188	327	278	173	204	192	224	478	418	151	394	271	313	141
ENSMUSG00000047866	11693	12624	13887	13693	7851	10792	9388	10612	12737	15260	8034	13909	12131	12502	7492
ENSMUSG00000061540	1	0	1	2	1	1	9	1	12	7	0	5	1	11	1
ENSMUSG00000047861	0	2	0	12	1	8	1	0	8	13	11	15	1	1	0
ENSMUSG00000040747	1348	1289	2061	2263	729	981	1127	1806	3460	6774	879	5446	2853	4552	712
ENSMUSG00000005397	2296	1799	1986	2311	792	1452	1213	910	1906	1761	816	2242	1762	1666	887
ENSMUSG00000040749	556	580	679	620	324	460	402	544	704	780	471	652	498	528	305
ENSMUSG00000040740	1078	1426	1222	2115	585	967	965	576	983	1469	1097	1072	667	687	588
ENSMUSG00000040746	9865	10225	12425	12348	7124	9060	8297	9444	10547	13542	7065	11538	9371	9929	6512
ENSMUSG00000047894	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000061532	1036	1319	1396	808	860	1242	724	1187	1265	1792	577	1052	955	1605	452
ENSMUSG00000061531	53	67	82	44	32	59	17	22	33	63	37	61	32	25	21
ENSMUSG00000047898	0	4	1	0	2	1	1	0	0	0	0	1	0	0	1
ENSMUSG00000061536	8529	10296	10738	10914	5815	7763	6860	7022	8121	10878	6080	10094	7716	7654	5717
ENSMUSG00000061535	262	208	226	246	87	169	100	91	117	211	136	279	121	125	107
ENSMUSG00000047897	223	259	301	260	225	244	203	256	245	340	146	216	212	250	186
ENSMUSG00000061533	1005	807	1070	975	429	744	790	652	867	1034	582	1273	512	728	622
ENSMUSG00000040738	3005	3925	3974	4018	2024	2807	2760	2383	3242	4234	1996	3823	2884	3576	1893
ENSMUSG00000047889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040731	55284	60287	65770	71486	38272	51805	46467	50099	54870	73096	38457	62875	51165	50075	35421
ENSMUSG00000040734	675	874	828	1280	527	716	694	755	674	1227	648	797	698	863	654
ENSMUSG00000040732	976	948	1306	1246	692	815	883	910	788	1220	608	996	797	921	605
ENSMUSG00000061527	0	1	1	0	0	0	0	1	0	0	6	1	0	0	2
ENSMUSG00000047880	41	42	59	74	22	48	45	42	41	45	30	54	24	47	26
ENSMUSG00000047881	2163	2124	2510	2208	1757	2334	2291	2470	3040	3743	1288	3245	2189	2795	1592
ENSMUSG00000047884	23	14	18	21	12	13	25	8	6	29	5	110	16	81	3
ENSMUSG00000061520	5	0	6	1	0	1	0	1	1	2	4	1	0	0	0
ENSMUSG00000061525	0	2	0	1	0	1	0	1	1	1	0	0	4	0	0
ENSMUSG00000047888	13693	15331	17014	15189	10058	13673	10970	13574	15241	20730	9030	15303	11713	16598	7221
ENSMUSG00000061524	1750	2172	2716	3688	1257	1770	1617	1212	2057	1914	1327	3008	1817	2179	1347
ENSMUSG00000054520	558	718	683	1007	288	533	651	937	1494	3225	270	2432	1052	1851	305
ENSMUSG00000047940	13	5	16	12	6	6	5	6	10	7	2	5	12	8	1
ENSMUSG00000017057	1003	1009	1191	1321	469	776	682	697	1448	2114	506	2327	1360	1866	511
ENSMUSG00000054526	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000047945	6217	10358	8327	14606	2966	5166	4827	2645	6717	7345	4626	6014	3301	3697	2881
ENSMUSG00000054523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084995	6	29	23	23	15	8	13	12	37	14	2	19	18	22	5
ENSMUSG00000084994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054510	0	1	1	4	2	2	5	2	4	0	1	0	2	2	0
ENSMUSG00000084993	0	0	0	2	0	0	4	3	0	1	0	1	0	0	0
ENSMUSG00000076599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084992	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084999	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2
ENSMUSG00000084998	202	231	239	325	155	136	167	197	214	267	160	271	149	201	137
ENSMUSG00000084997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084996	66	71	79	89	32	50	42	40	44	68	49	45	72	61	39
ENSMUSG00000047953	85	130	157	145	101	95	99	232	159	169	93	184	73	84	62
ENSMUSG00000076590	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054519	2411	2207	2959	2518	1705	2023	1739	2217	2437	2913	1475	2295	2140	2130	1304
ENSMUSG00000076594	1	2	1	0	0	0	6	0	0	0	0	10	0	1	1
ENSMUSG00000054517	1309	1589	1579	2176	836	1020	1265	1224	1316	1973	978	1778	1274	1490	876
ENSMUSG00000076593	0	0	4	0	0	0	6	0	0	0	0	2	1	0	5
ENSMUSG00000076592	0	0	0	0	0	0	0	0	1	0	7	0	4	0	0
ENSMUSG00000076591	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000084990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047959	73	176	159	167	97	148	82	102	144	223	101	97	97	196	81
ENSMUSG00000054514	112	100	92	124	44	112	82	61	102	137	47	98	96	93	65
ENSMUSG00000076598	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
ENSMUSG00000084991	0	0	0	1	0	0	0	0	0	4	0	0	1	1	0
ENSMUSG00000017049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076596	0	0	1	6	0	0	8	0	4	0	0	0	4	0	0
ENSMUSG00000076595	0	0	0	0	0	3	0	0	3	0	0	0	15	0	0
ENSMUSG00000047965	926	982	1237	1396	612	762	996	953	1179	1865	702	1494	970	1039	534
ENSMUSG00000047963	210	222	177	286	113	207	68	123	357	210	133	292	126	148	98
ENSMUSG00000076588	26	12	9	5	2	4	3	13	4	15	7	2	1	17	6
ENSMUSG00000047960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054545	126	92	130	179	32	79	109	135	375	291	105	339	163	243	78
ENSMUSG00000076585	0	0	0	0	0	4	0	1	0	0	0	0	2	1	0
ENSMUSG00000076587	9	13	42	47	8	22	0	22	31	17	8	18	7	7	6
ENSMUSG00000076586	0	0	1	0	4	0	0	0	20	2	0	0	0	3	0
ENSMUSG00000076581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076580	0	1	0	0	0	0	0	0	0	0	0	0	7	0	1
ENSMUSG00000076583	0	0	0	0	4	0	0	0	0	2	1	0	28	6	0
ENSMUSG00000076582	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0
ENSMUSG00000047976	48810	34343	46538	26001	32432	40733	29752	60346	36573	57868	21171	47623	36568	49243	24463
ENSMUSG00000076579	1	3	1	3	4	2	0	0	13	0	0	2	1	0	0
ENSMUSG00000076577	0	0	0	0	0	2	0	0	2	0	0	0	0	0	6
ENSMUSG00000076578	0	2	14	6	0	0	0	1	3	7	0	0	6	3	1
ENSMUSG00000076576	4	0	0	0	0	0	0	0	0	1	0	0	4	1	0
ENSMUSG00000076575	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000076573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047977	91	79	103	125	46	86	81	98	79	85	39	70	64	69	38
ENSMUSG00000076572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054537	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000068290	7122	6812	8268	9273	4718	6193	6545	6854	8078	10702	4781	9452	6903	8316	4607
ENSMUSG00000068299	2064	1528	2270	2094	991	1435	1558	1664	2448	2161	988	2056	2412	1510	903
ENSMUSG00000047907	373	516	1005	765	464	463	841	439	426	767	328	481	1641	2430	341
ENSMUSG00000047905	68	71	69	75	36	62	43	81	102	158	45	78	75	69	50
ENSMUSG00000047904	4431	4877	3266	4480	2398	3492	3056	2473	2799	3842	1984	3327	2511	2612	2437
ENSMUSG00000040795	2488	2282	2883	3130	1454	2142	1754	2088	2856	2898	1507	2691	1872	2123	1372
ENSMUSG00000040794	13758	12327	14828	18046	9146	11884	11816	14975	11803	17314	10620	13131	10767	10486	8138
ENSMUSG00000040797	50060	45665	57691	62466	35889	41510	43276	49327	36011	61963	32060	44012	50726	46843	32979
ENSMUSG00000047909	7235	6580	9810	9111	5220	6694	6558	7290	8109	11292	4646	8464	6363	7944	4066
ENSMUSG00000058997	8763	8672	10947	10691	6861	8111	8136	9384	9959	12467	6143	10446	9566	9935	5608
ENSMUSG00000047910	512	458	661	471	375	626	406	518	731	852	308	587	570	596	255
ENSMUSG00000047911	122	81	82	100	38	58	87	49	79	103	49	103	85	64	22
ENSMUSG00000068270	1246	1351	1761	1827	849	1164	1289	1154	1585	2170	924	1712	1162	1496	656
ENSMUSG00000047921	11400	12864	13959	16301	8890	11332	10686	11670	12242	17092	9183	13877	12672	13707	8285
ENSMUSG00000007564	88173	96656	107682	107652	61999	82215	70542	79086	80639	112026	66628	95006	86989	82050	60490
ENSMUSG00000010607	1809	1766	2280	2445	1412	1737	1576	2053	2143	2599	1292	2425	1881	2064	1269
ENSMUSG00000010608	18469	19234	24434	22842	13352	17470	16813	18119	20988	26788	12004	21733	17036	20882	10890
ENSMUSG00000010609	2091	2461	2537	3380	1597	2011	2030	2123	2855	3484	1725	3128	2307	2589	1484
ENSMUSG00000047923	194	170	188	252	110	115	142	162	128	224	117	150	221	141	117
ENSMUSG00000054509	1239	996	1274	1538	719	1190	1080	1452	2265	2335	797	2230	1720	2338	840
ENSMUSG00000010601	59	19	95	76	61	56	44	63	76	95	29	14	91	78	29
ENSMUSG00000068284	9476	9754	11556	9857	6949	9172	7014	9382	9484	14096	6084	9383	8326	10735	5039
ENSMUSG00000068289	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000047938	10	3	12	13	1	7	8	4	7	9	8	3	15	3	1
ENSMUSG00000007570	2040	1936	2660	3022	1494	2122	1925	2088	2707	3259	1444	2967	2328	2300	1227
ENSMUSG00000047935	1163	1134	1437	1856	823	1155	1288	1295	1375	1866	964	2058	1354	1092	610
ENSMUSG00000017064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005312	31054	33162	38668	34099	23325	29470	26302	31929	32673	42413	21627	37892	30652	34013	21148
ENSMUSG00000001082	3230	3198	3721	5182	2135	2800	3128	2735	3387	5181	2676	4025	3032	3160	2076
ENSMUSG00000007589	1814	1934	2161	2595	1291	1762	1698	1920	1966	2867	1271	2436	1779	2209	1191
ENSMUSG00000001089	21087	18487	23399	14804	14667	16592	12650	23485	15593	23911	9360	17794	20497	22131	10352
ENSMUSG00000076521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076520	0	0	0	1	9	0	0	0	0	0	2	43	13	0	0
ENSMUSG00000076524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068259	0	0	0	6	4	0	1	1	13	19	6	4	1	7	2
ENSMUSG00000076525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076523	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
ENSMUSG00000084922	538	496	650	570	421	538	512	598	606	714	345	505	569	477	282
ENSMUSG00000076528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084921	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000076529	0	0	0	0	0	2	0	0	0	0	15	0	2	1	0
ENSMUSG00000084920	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0
ENSMUSG00000076526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076527	0	0	4	1	0	8	0	1	0	0	0	1	15	0	0
ENSMUSG00000010663	38861	40027	47866	62907	25583	33733	38462	33936	37973	56470	28059	46244	38568	34780	25518
ENSMUSG00000068252	23	13	28	12	10	15	19	47	24	53	6	61	24	51	1
ENSMUSG00000084925	139	109	146	175	77	125	123	105	159	170	60	94	91	123	60
ENSMUSG00000084924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068250	1260	1561	1713	1658	913	1373	1119	1214	1444	1846	975	1483	1159	1264	893
ENSMUSG00000084923	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ENSMUSG00000084929	19	32	40	14	28	23	35	47	22	70	3	19	29	30	40
ENSMUSG00000010660	2693	2704	3028	4101	1669	2219	2578	2520	3003	4237	1917	2959	2639	2557	1811
ENSMUSG00000084928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084927	3	0	1	1	1	2	0	1	3	0	1	0	0	2	5
ENSMUSG00000084909	0	1	2	0	1	1	1	0	1	0	0	1	0	2	2
ENSMUSG00000001095	0	0	1	0	0	0	5	0	2	0	0	2	0	0	0
ENSMUSG00000007594	26832	24028	32905	26879	22769	27095	21301	36508	22684	35895	18673	26644	29913	30616	21547
ENSMUSG00000001098	4166	5013	5171	5703	2791	3984	3750	3569	4298	5942	3042	5079	4186	4150	2735
ENSMUSG00000007591	107	48	128	161	96	120	56	58	98	147	68	113	83	96	40
ENSMUSG00000076510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076511	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
ENSMUSG00000076512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054598	0	2	4	0	1	0	0	5	2	0	0	0	0	0	0
ENSMUSG00000076514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076515	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0
ENSMUSG00000068264	2376	2073	2490	2568	1496	2053	1603	2196	2314	2904	1450	2414	2081	2149	1422
ENSMUSG00000076516	1	0	0	15	0	0	1	1	0	0	14	9	5	0	5
ENSMUSG00000084911	118	153	156	136	150	158	86	258	337	417	77	218	146	334	39
ENSMUSG00000068267	26510	24733	30207	32825	18618	23556	24365	25948	26934	35529	16232	32128	22779	26480	17040
ENSMUSG00000076517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084910	573	579	658	715	324	431	497	504	663	683	360	607	451	533	306
ENSMUSG00000054594	535	692	687	848	321	474	499	377	470	672	391	713	590	551	365
